glosa,english
ki ex,emerge; go out; issue; leave 
ki in,enter; get in; invade; penetrate 
ki kata,descend; sink 
kilo,kilo; thousand 
kine,move; motion; move oneself; movement; whisk 
kinema,cinema; motion picture theater; movie theater 
kla,call (telephone) 
klari,clear (distinct); clear (easy to see through); clear (evident); clear (bright); clear up; distinct; evident; explain; light (pale); obvious; pale 
klasc,clash 
klasi,class; classify; arrange; order (arrangement); rank 
klaudi,cripple; lame; limp 
klavi,key (lock); lock (v); close (with key); key (keyboard); plug (electric) 
klavi-me,lock (n) 
klepto,steal; plunder; rob; thieve 
klepto-pe,bandit; burglar; thief 
kli,bed; lie down; pass the night ; sleep 
kli-te,blanket 
klina,incline; bend over; bow (bend over); inclined; lean (rest against); list (of ship); pending; slant; slope; tilt 
kloro,green; chloro-; verdant; verdure 
klu,even; even (including); even (still); including; inclusive; still (even) 
kluba,club (society) 
klude,close (v); fasten (v); shut (v) 
"ko (before consonants without h, else prefer kon)",with; together with; with (=together with); meet (by appointment) 
kognato,cognate; related 
koku,berry 
kola,neck; gorge; gullet; isthmus; throat 
kola-ve,collar 
kolekti,collect; gather; pick (collect) 
koleri,anger; angry; annoyance; choleric; furious; indignant; irritable; rage; temper 
kolumni,column; pole; post (pole) 
koma,clause; comma; piece (literary) 
komanda,command; order (command) 
kombina,combination; combine 
komerci,commercial; commerce; trade 
komika,comic; comical; funny; humorous; humourous 
komiti,committee; council 
kompani,company 
kompara,compare; comparison 
kompeti,compete; competition; contest; race (competition) 
komplexi,complex; complicated; elaborate 
komposi,compose; arrange 
kompositi,composite; composition; compound 
kompromise,compromise 
komuni,common; in common ; together; sharing 
komunika,communicate; communication 
"kon (before vowels and h, else prefer ko)",with; together with; with (=together with); meet (by appointment) 
koncerto,concert 
konfesi,confess; admit; profess (declare belief) 
konfusi,confuse; mix; muddle 
konsili,advice; advise; counsel; recommend 
konski,conscious 
konsola,console (comfort); comfort (console) 
kontento,content; constituent 
kontinenta,continent 
konto,account; bank account 
kontra,contrary; opposite; against; backside backwards 
konversa,conversation; converse; talk 
kope,oar; row (a boat) 
kopi,copy; imitate 
kopula,"couple; connect; join; link (connect(ion)); mate (v, animals) "
koragi,brave; courage; courageous 
korbi,basket 
korda,cord; rope; string; twine 
kore,dance 
korekti,correct; proper; right (correct) 
korina,club (stick); bat (n); cudgel; mace; truncheon 
koriza,coryza; cold (illness) 
korona,crown; corona; garland; wreath; wreathe 
korta,court; courtyard; yard 
kosta,coast (shore); rib; shore; side (shore) 
kotona,cotton 
krak,crack; crack (noise) 
krasc,crash 
kratera,basin; bowl; wash bowl ; vessel 
krati,be in force ; govern; government; manage; regime; rule (authority); steer 
krati-fi,rein 
krati-grega,government 
krati-pe,minister 
plu krati-pe,cabinet (ministers) 
krea,create; make; produce (make) 
kredi,belief; believe; confide; creed; entrust; rely; suspect; trust 
kredito,credit; lend 
krema,cream 
kremno,cliff 
kresce,crescent; grow; growth; increase; rise (grow) 
kriket,cricket (sport) 
krimi,crime 
kripti,hide; conceal; cryptic; hidden; mask (v); mystery; secret; stealthy 
krisi,crisis; critical (crisis) 
kriso,gold; golden 
kritici,criticize; critical (criticizing); rebuke; review; scold 
kroma,color; colour; dye; hue (colour); paint; tinge 
kron,time (instant); chron-; instant; moment; occasion; when 
kruci,cross (n); cross (v); breed; crossing; crossroads; interbreed; intersect; traverse 
krudi,raw; blunt (rude); rough; rude; tasteless; uncouth; uncultured; vulgar 
kubi,cube; cubic 
kubita,elbow; nudge 
kuko,cook; bake; stew 
kuko-ka,kitchen 
kuko-me,stove 
